Date,Total Equity,Cash,Invested Value,Active Positions,Holdings
2016-06-24,250000.0,896.8826093673706,249103.11739063263,10,"HSCL.NS: 874, MANAPPURAM.NS: 457, MFSL.NS: 46, MAHSEAMLES.NS: 241, MUTHOOTFIN.NS: 104, PCBL.NS: 2219, VGUARD.NS: 268, ESCORTS.NS: 125, CGPOWER.NS: 355, BIOCON.NS: 214"
2016-07-01,262961.60465550993,2922.087341552746,260039.5173139572,10,"HSCL.NS: 874, MANAPPURAM.NS: 457, MFSL.NS: 46, MUTHOOTFIN.NS: 104, PCBL.NS: 2219, VGUARD.NS: 268, ESCORTS.NS: 125, CGPOWER.NS: 355, DCMSHRIRAM.NS: 131, VEDL.NS: 556"
2016-07-08,266873.82608921116,2494.700703926719,264379.1253852844,10,"HSCL.NS: 874, MANAPPURAM.NS: 457, MFSL.NS: 46, MUTHOOTFIN.NS: 104, PCBL.NS: 2219, VGUARD.NS: 268, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, ANANTRAJ.NS: 1249"
2016-07-15,274235.02070991794,2497.8105363110662,271737.2101736069,10,"HSCL.NS: 874, MANAPPURAM.NS: 457, MFSL.NS: 46, MUTHOOTFIN.NS: 104, PCBL.NS: 2219, VGUARD.NS: 268, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, ANANTRAJ.NS: 1249"
2016-07-22,284745.7019495747,2342.445729710784,282403.2562198639,10,"HSCL.NS: 874, MANAPPURAM.NS: 457, MFSL.NS: 46, PCBL.NS: 2219, VGUARD.NS: 268, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, ANANTRAJ.NS: 1249, MOTILALOFS.NS: 53"
2016-07-29,292451.7200414556,13764.494650067674,278687.22539138794,10,"MANAPPURAM.NS: 457, MFSL.NS: 46, PCBL.NS: 2219, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, MOTILALOFS.NS: 53, JMFINANCIL.NS: 408, MUTHOOTFIN.NS: 88, HINDPETRO.NS: 206"
2016-08-05,302667.26351082633,13781.653129699951,288885.6103811264,10,"MANAPPURAM.NS: 457, MFSL.NS: 46, PCBL.NS: 2219, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, MOTILALOFS.NS: 53, JMFINANCIL.NS: 408, MUTHOOTFIN.NS: 88, HINDPETRO.NS: 206"
2016-08-12,301998.73318425484,10267.362692273367,291731.3704919815,10,"MANAPPURAM.NS: 457, PCBL.NS: 2219, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, MOTILALOFS.NS: 53, MUTHOOTFIN.NS: 88, HINDPETRO.NS: 206, HSCL.NS: 684, HINDALCO.NS: 182"
2016-08-19,312015.94644813647,11061.616475869349,300954.32997226715,10,"MANAPPURAM.NS: 457, PCBL.NS: 2219, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, MOTILALOFS.NS: 53, HSCL.NS: 684, HINDALCO.NS: 182, PNB.NS: 210, SUNDRMFAST.NS: 96"
2016-08-26,312571.40657742706,8849.232373554361,303722.1742038727,10,"MANAPPURAM.NS: 457, PCBL.NS: 2219, ESCORTS.NS: 125, VEDL.NS: 556, INDIANB.NS: 196, MOTILALOFS.NS: 53, HINDALCO.NS: 182, PNB.NS: 210, SUNDRMFAST.NS: 96, GRAVITA.NS: 898"
