Date,Action,Ticker,Shares,Price,Total Value
2016-06-24,BUY,HSCL.NS,874,28.6,24997.75
2016-06-24,BUY,MANAPPURAM.NS,457,54.66,24981.98
2016-06-24,BUY,MFSL.NS,46,533.61,24548.38
2016-06-24,BUY,SPLPETRO.NS,331,75.42,24965.82
2016-06-24,BUY,MUTHOOTFIN.NS,105,237.21,24909.2
2016-06-24,BUY,PCBL.NS,2219,11.26,24991.73
2016-06-24,BUY,ESCORTS.NS,125,199.85,24983.63
2016-06-24,BUY,CGPOWER.NS,355,70.29,24953.68
2016-06-24,BUY,BIOCON.NS,214,116.54,24941.25
2016-06-24,BUY,NATCOPHARM.NS,47,528.88,24859.68
2016-06-24,BUY,DCMSHRIRAM.NS,151,164.78,24884.88
2016-06-24,BUY,ANANTRAJ.NS,1358,18.4,24986.2
2016-06-24,BUY,APLAPOLLO.NS,284,87.79,24935.33
2016-06-24,BUY,CENTRALBK.NS,241,103.69,24992.3
2016-06-24,BUY,HINDALCO.NS,227,110.07,24988.36
2016-07-15,SELL,CGPOWER.NS,355,69.35,24615.58
2016-07-15,SELL,NATCOPHARM.NS,47,535.6,25170.53
2016-07-15,SELL,APLAPOLLO.NS,284,90.06,25575.33
2016-07-15,BUY,INDIANB.NS,200,132.84,26570.85
2016-07-15,BUY,VEDL.NS,490,54.24,26579.93
2016-07-22,SELL,CENTRALBK.NS,241,95.81,23086.99
2016-07-22,BUY,MOTILALOFS.NS,59,464.74,27422.13
2016-07-29,SELL,HSCL.NS,874,32.68,28557.01
2016-07-29,SELL,SPLPETRO.NS,331,77.87,25771.6
2016-07-29,BUY,JMFINANCIL.NS,463,61.19,28333.04
2016-07-29,BUY,HINDPETRO.NS,233,121.34,28274.39
2016-08-05,SELL,DCMSHRIRAM.NS,151,200.5,30272.71
2016-08-05,BUY,HSCL.NS,776,37.64,29211.71
2016-08-12,SELL,MFSL.NS,46,506.19,23282.48
2016-08-12,SELL,JMFINANCIL.NS,463,56.74,26268.64
2016-08-12,BUY,PNB.NS,255,114.03,29081.35
2016-08-12,BUY,JSL.NS,1160,25.12,29146.2
2016-08-19,SELL,MUTHOOTFIN.NS,105,294.16,30884.23
2016-08-19,SELL,BIOCON.NS,214,138.99,29740.34
2016-08-19,BUY,NAVA.NS,557,53.68,29901.78
2016-08-19,BUY,HINDCOPPER.NS,449,66.62,29916.77
2016-08-26,SELL,ANANTRAJ.NS,1358,22.18,30117.28
2016-08-26,SELL,HINDPETRO.NS,233,113.51,26446.06
2016-08-26,SELL,HSCL.NS,776,33.27,25812.49
2016-08-26,SELL,JSL.NS,1160,22.81,26460.14
2016-08-26,BUY,GRAVITA.NS,1057,27.82,29406.72
2016-08-26,BUY,BAJAJFINSV.NS,105,279.72,29373.73
2016-08-26,BUY,INDIACEM.NS,211,139.35,29405.81
2016-08-26,BUY,SARDAEN.NS,2003,14.69,29422.37
2016-09-02,SELL,NAVA.NS,557,48.81,27182.34
2016-09-09,SELL,HINDCOPPER.NS,449,63.68,28588.06
2016-09-09,BUY,CGCL.NS,687,44.67,30691.15
2016-09-16,SELL,HINDALCO.NS,227,134.71,30577.02
2016-09-16,SELL,VEDL.NS,490,53.86,26387.52
2016-09-16,BUY,JBMA.NS,702,42.77,30024.58
2016-09-16,BUY,JUBLPHARMA.NS,71,417.72,29661.15
2016-09-30,SELL,MANAPPURAM.NS,457,76.27,34852.59
2016-09-30,SELL,INDIANB.NS,200,178.11,35617.56
2016-09-30,SELL,GRAVITA.NS,1057,30.52,32252.43
2016-09-30,SELL,SARDAEN.NS,2003,17.96,35972.57
2016-09-30,BUY,IDFCFIRSTB.NS,406,77.03,31275.56
2016-09-30,BUY,JKTYRE.NS,237,132.21,31337.13
2016-09-30,BUY,CEATLTD.NS,25,1214.4,30363.01
2016-09-30,BUY,BALKRISIND.NS,67,465.79,31211.22
2016-09-30,BUY,BLS.NS,918,34.13,31337.17
2016-10-07,SELL,PNB.NS,255,133.24,33972.72
2016-10-07,BUY,JSL.NS,1174,28.47,33423.33
2016-10-21,SELL,MOTILALOFS.NS,59,582.05,34337.25
2016-10-21,SELL,BAJAJFINSV.NS,105,326.28,34256.23
2016-10-21,BUY,CAPLIPOINT.NS,91,384.15,34961.55
2016-10-21,BUY,SWANCORP.NS,335,105.15,35227.64
2016-10-28,SELL,JKTYRE.NS,237,125.62,29769.07
2016-10-28,SELL,CEATLTD.NS,25,1111.81,27792.47
2016-10-28,BUY,SARDAEN.NS,1493,23.28,34767.19
2016-11-04,SELL,ESCORTS.NS,125,336.9,42108.57
2016-11-04,SELL,CGCL.NS,687,61.2,42040.02
2016-11-04,SELL,JBMA.NS,702,51.68,36278.06
2016-11-04,SELL,JUBLPHARMA.NS,71,430.76,30580.79
2016-11-04,SELL,IDFCFIRSTB.NS,406,70.23,28508.52
2016-11-04,SELL,BALKRISIND.NS,67,455.09,30487.87
2016-11-04,SELL,JSL.NS,1174,36.87,43285.81
2016-11-04,SELL,SARDAEN.NS,1493,22.55,33661.55
2016-11-04,BUY,UNOMINDA.NS,546,60.63,33106.17
2016-11-04,BUY,RADICO.NS,246,134.56,33104.03
2016-11-04,BUY,ABREL.NS,35,936.55,32782.53
2016-11-04,BUY,MGL.NS,57,572.65,32644.5
2016-11-04,BUY,TATACOMM.NS,96,343.01,32931.95
2016-11-04,BUY,TRIDENT.NS,7158,4.63,33123.75
2016-11-04,BUY,AARTIIND.NS,189,174.54,32990.91
2016-11-04,BUY,WHIRLPOOL.NS,30,1096.45,32896.87
