Date,Total Equity,Cash,Invested Value,Active Positions,Holdings
2016-06-24,374968.16049862345,56573.14673328836,318395.0137653351,6,"GOLDBEES.NS: 2027, HSCL.NS: 1835, MANAPPURAM.NS: 960, MFSL.NS: 98, SPLPETRO.NS: 696, MUTHOOTFIN.NS: 221"
2016-07-01,387829.6189530073,55270.62566305975,332558.9932899475,6,"GOLDBEES.NS: 2076, HSCL.NS: 1835, MANAPPURAM.NS: 960, MFSL.NS: 98, SPLPETRO.NS: 696, MUTHOOTFIN.NS: 221"
2016-07-08,398537.0782060315,54404.22762772344,344132.8505783081,6,"GOLDBEES.NS: 2109, HSCL.NS: 1835, MANAPPURAM.NS: 960, MFSL.NS: 98, SPLPETRO.NS: 696, MUTHOOTFIN.NS: 221"
2016-07-15,390549.1003108487,53100.57072214935,337448.52958869934,6,"GOLDBEES.NS: 2095, HSCL.NS: 1835, MANAPPURAM.NS: 960, MFSL.NS: 98, MUTHOOTFIN.NS: 221, PCBL.NS: 3830"
2016-07-22,394180.49700060056,52414.6043881433,341765.8926124573,6,"GOLDBEES.NS: 2122, HSCL.NS: 1835, MANAPPURAM.NS: 960, MFSL.NS: 98, MUTHOOTFIN.NS: 221, PCBL.NS: 3830"
2016-07-29,414598.6867267481,51571.71635550177,363026.97037124634,6,"GOLDBEES.NS: 2224, MANAPPURAM.NS: 960, MFSL.NS: 98, MUTHOOTFIN.NS: 221, PCBL.NS: 3830, JMFINANCIL.NS: 948"
2016-08-05,419973.91563959525,53381.919749931534,366591.9958896637,6,"GOLDBEES.NS: 2164, MANAPPURAM.NS: 960, MFSL.NS: 98, MUTHOOTFIN.NS: 221, PCBL.NS: 3830, JMFINANCIL.NS: 948"
2016-08-12,412983.73714402097,41485.88183930298,371497.855304718,6,"GOLDBEES.NS: 2158, MANAPPURAM.NS: 960, MUTHOOTFIN.NS: 221, PCBL.NS: 3830, INDIANB.NS: 335, HSCL.NS: 1583"
2016-08-19,419636.7703701189,46744.59784089831,372892.1725292206,6,"GOLDBEES.NS: 2196, MANAPPURAM.NS: 960, PCBL.NS: 3830, INDIANB.NS: 335, HSCL.NS: 1583, VEDL.NS: 986"
2016-08-26,415768.5965145464,41343.22467311576,374425.37184143066,6,"GOLDBEES.NS: 2194, MANAPPURAM.NS: 960, PCBL.NS: 3830, INDIANB.NS: 335, VEDL.NS: 986, ESCORTS.NS: 189"
2016-09-02,423742.8869188393,102558.46387654194,321184.42304229736,5,"MANAPPURAM.NS: 960, PCBL.NS: 3830, INDIANB.NS: 335, VEDL.NS: 986, ESCORTS.NS: 189"
2016-09-09,433101.34223054163,102686.3107287716,330415.03150177,5,"MANAPPURAM.NS: 960, PCBL.NS: 3830, INDIANB.NS: 335, VEDL.NS: 986, ESCORTS.NS: 189"
2016-09-16,427231.500525257,96105.9191043586,331125.58142089844,5,"MANAPPURAM.NS: 960, PCBL.NS: 3830, INDIANB.NS: 335, ESCORTS.NS: 189, CGCL.NS: 1380"
2016-09-23,453817.5393725017,28166.526768741955,425651.01260375977,6,"GOLDBEES.NS: 2396, MANAPPURAM.NS: 960, PCBL.NS: 3830, INDIANB.NS: 335, ESCORTS.NS: 189, CGCL.NS: 1380"
2016-09-30,450612.2446309967,102780.61008662416,347831.63454437256,5,"PCBL.NS: 3830, ESCORTS.NS: 189, CGCL.NS: 1380, JUBLPHARMA.NS: 148, IDFCFIRSTB.NS: 819"
2016-10-07,475461.0021675739,102908.73386084173,372552.2683067322,5,"PCBL.NS: 3830, ESCORTS.NS: 189, CGCL.NS: 1380, JUBLPHARMA.NS: 148, IDFCFIRSTB.NS: 819"
2016-10-14,467576.5138028544,111561.21012624919,356015.3036766052,5,"ESCORTS.NS: 189, CGCL.NS: 1380, JUBLPHARMA.NS: 148, IDFCFIRSTB.NS: 819, JSL.NS: 1987"
2016-10-21,488712.46976551507,111700.27957996822,377012.1901855469,5,"ESCORTS.NS: 189, CGCL.NS: 1380, JUBLPHARMA.NS: 148, IDFCFIRSTB.NS: 819, JSL.NS: 1987"
2016-10-28,483595.9217053048,111839.52239423915,371756.3993110657,5,"ESCORTS.NS: 189, CGCL.NS: 1380, JUBLPHARMA.NS: 148, IDFCFIRSTB.NS: 819, JSL.NS: 1987"
2016-11-04,454578.35793736356,136685.71342900174,317892.6445083618,5,"SWANCORP.NS: 564, BLS.NS: 1488, UNOMINDA.NS: 1049, RADICO.NS: 473, CAPLIPOINT.NS: 181"
2016-11-11,452391.23109433404,124739.99128720515,327651.2398071289,5,"SWANCORP.NS: 564, BLS.NS: 1488, CGCL.NS: 934, JSL.NS: 1571, MGL.NS: 106"
2016-11-18,435793.99777118885,122821.56802265368,312972.42974853516,5,"SWANCORP.NS: 564, BLS.NS: 1488, MGL.NS: 106, OLECTRA.NS: 2040, MRF.NS: 1"
2016-11-25,428535.8079099902,103828.97267439446,324706.8352355957,5,"SWANCORP.NS: 564, MGL.NS: 106, VEDL.NS: 802, TATACOMM.NS: 170, JUBLPHARMA.NS: 129"
2016-12-02,434957.8519504799,103958.40331156392,330999.448638916,5,"SWANCORP.NS: 564, MGL.NS: 106, VEDL.NS: 802, TATACOMM.NS: 170, JUBLPHARMA.NS: 129"
2016-12-09,447632.6252223631,104087.99529377422,343544.62992858887,5,"SWANCORP.NS: 564, MGL.NS: 106, VEDL.NS: 802, TATACOMM.NS: 170, JUBLPHARMA.NS: 129"
2016-12-16,461945.2889731601,95784.43221122769,366160.8567619324,5,"SWANCORP.NS: 564, MGL.NS: 106, VEDL.NS: 802, TATACOMM.NS: 170, JSL.NS: 1699"
