Date,Action,Ticker,Shares,Price,Total Value
2016-06-24,BUY,GOLDBEES.NS,2027,27.74,56241.7
2016-06-24,BUY,HSCL.NS,1835,28.6,52483.83
2016-06-24,BUY,MANAPPURAM.NS,960,54.66,52478.55
2016-06-24,BUY,MFSL.NS,98,533.61,52298.73
2016-06-24,BUY,SPLPETRO.NS,696,75.42,52496.1
2016-06-24,BUY,MUTHOOTFIN.NS,221,237.21,52427.94
2016-07-01,BUY,GOLDBEES.NS,49,28.02,1373.04
2016-07-08,BUY,GOLDBEES.NS,33,28.34,935.3
2016-07-15,SELL,SPLPETRO.NS,696,76.03,52908.16
2016-07-15,SELL,GOLDBEES.NS,14,27.96,391.45
2016-07-15,BUY,PCBL.NS,3830,14.27,54671.09
2016-07-22,BUY,GOLDBEES.NS,27,27.85,752.16
2016-07-29,SELL,HSCL.NS,1835,32.68,59956.65
2016-07-29,BUY,GOLDBEES.NS,102,27.96,2852.51
2016-07-29,BUY,JMFINANCIL.NS,948,61.19,58012.37
2016-08-05,SELL,GOLDBEES.NS,60,29.1,1745.92
2016-08-12,SELL,MFSL.NS,98,506.19,49601.81
2016-08-12,SELL,JMFINANCIL.NS,948,56.74,53785.47
2016-08-12,SELL,GOLDBEES.NS,6,28.7,172.2
2016-08-12,BUY,INDIANB.NS,335,172.28,57720.95
2016-08-12,BUY,HSCL.NS,1583,36.51,57801.11
2016-08-19,SELL,MUTHOOTFIN.NS,221,294.16,65003.95
2016-08-19,BUY,GOLDBEES.NS,38,28.66,1089.17
2016-08-19,BUY,VEDL.NS,986,59.54,58707.77
2016-08-26,SELL,HSCL.NS,1583,33.27,52656.16
2016-08-26,SELL,GOLDBEES.NS,2,28.42,56.83
2016-08-26,BUY,ESCORTS.NS,189,307.76,58172.63
2016-09-02,SELL,GOLDBEES.NS,2194,27.88,61163.7
2016-09-16,SELL,VEDL.NS,986,53.86,53098.15
2016-09-16,BUY,CGCL.NS,1380,43.33,59806.55
2016-09-23,BUY,GOLDBEES.NS,2396,28.4,68059.2
2016-09-30,SELL,MANAPPURAM.NS,960,76.27,73213.32
2016-09-30,SELL,INDIANB.NS,335,178.11,59659.42
2016-09-30,SELL,GOLDBEES.NS,2396,28.25,67685.02
2016-09-30,BUY,JUBLPHARMA.NS,148,424.88,62888.45
2016-09-30,BUY,IDFCFIRSTB.NS,819,77.03,63090.35
2016-10-14,SELL,PCBL.NS,3830,19.32,73984.15
2016-10-14,BUY,JSL.NS,1987,32.94,65459.96
2016-11-04,SELL,ESCORTS.NS,189,336.9,63668.16
2016-11-04,SELL,CGCL.NS,1380,61.2,84447.2
2016-11-04,SELL,JUBLPHARMA.NS,148,430.76,63745.88
2016-11-04,SELL,IDFCFIRSTB.NS,819,70.23,57508.57
2016-11-04,SELL,JSL.NS,1987,36.87,73261.41
2016-11-04,BUY,SWANCORP.NS,564,112.76,63603.1
2016-11-04,BUY,BLS.NS,1488,42.77,63644.46
2016-11-04,BUY,UNOMINDA.NS,1049,60.63,63605.08
2016-11-04,BUY,RADICO.NS,473,134.56,63651.24
2016-11-04,BUY,CAPLIPOINT.NS,181,350.35,63420.55
2016-11-11,SELL,UNOMINDA.NS,1049,54.72,57390.71
2016-11-11,SELL,RADICO.NS,473,121.61,57516.32
2016-11-11,SELL,CAPLIPOINT.NS,181,346.46,62703.04
2016-11-11,BUY,CGCL.NS,934,67.79,63317.92
2016-11-11,BUY,JSL.NS,1571,40.32,63342.19
2016-11-11,BUY,MGL.NS,106,594.9,63066.08
2016-11-18,SELL,CGCL.NS,934,56.03,52331.17
2016-11-18,SELL,JSL.NS,1571,35.05,55065.79
2016-11-18,BUY,OLECTRA.NS,2040,29.91,61014.96
2016-11-18,BUY,MRF.NS,1,48451.07,48455.92
2016-11-25,SELL,BLS.NS,1488,39.61,58934.23
2016-11-25,SELL,OLECTRA.NS,2040,26.91,54892.3
2016-11-25,SELL,MRF.NS,1,46664.28,46659.61
2016-11-25,BUY,VEDL.NS,802,74.74,59950.31
2016-11-25,BUY,TATACOMM.NS,170,352.8,59981.19
2016-11-25,BUY,JUBLPHARMA.NS,129,462.75,59700.35
2016-12-16,SELL,JUBLPHARMA.NS,129,435.91,56226.93
2016-12-16,BUY,JSL.NS,1699,38.05,64660.25
2016-12-23,SELL,SWANCORP.NS,564,149.43,84272.68
2016-12-23,SELL,VEDL.NS,802,72.53,58166.35
2016-12-23,SELL,JSL.NS,1699,36.38,61807.5
2016-12-23,BUY,BLS.NS,1302,45.5,59248.03
2016-12-23,BUY,ENGINERSIN.NS,494,119.8,59185.94
2016-12-23,BUY,SONATSOFTW.NS,1106,53.57,59254.75
2016-12-30,SELL,ENGINERSIN.NS,494,111.84,55241.37
2016-12-30,BUY,NATIONALUM.NS,1581,37.46,59228.97
2017-01-06,SELL,TATACOMM.NS,170,350.39,59560.27
2017-01-06,SELL,BLS.NS,1302,45.9,59754.94
2017-01-06,BUY,CHAMBLFERT.NS,853,70.54,60175.68
2017-01-06,BUY,MMTC.NS,1490,40.39,60188.07
2017-01-13,SELL,MGL.NS,106,670.69,71085.97
2017-01-13,BUY,GOLDBEES.NS,2512,26.45,66450.3
2017-01-13,BUY,ITI.NS,1239,50.05,62018.15
2017-01-20,SELL,ITI.NS,1239,47.45,58784.67
2017-01-20,SELL,GOLDBEES.NS,45,26.69,1200.84
2017-01-20,BUY,FACT.NS,1680,36.58,61459.36
2017-01-27,SELL,FACT.NS,1680,33.44,56173.0
2017-01-27,BUY,GOLDBEES.NS,42,26.22,1101.14
2017-01-27,BUY,SWANCORP.NS,318,192.68,61277.6
2017-02-03,SELL,SONATSOFTW.NS,1106,56.55,62535.91
2017-02-03,SELL,MMTC.NS,1490,41.66,62061.06
2017-02-03,SELL,SWANCORP.NS,318,170.04,54066.03
2017-02-03,SELL,GOLDBEES.NS,133,26.44,3516.7
2017-02-03,BUY,ITI.NS,1193,49.15,58641.82
2017-02-03,BUY,ADANIENT.NS,1161,50.47,58598.99
2017-02-03,BUY,IDEA.NS,888,65.99,58609.38
2017-02-10,SELL,NATIONALUM.NS,1581,37.26,58899.72
2017-02-10,SELL,ITI.NS,1193,46.15,55051.45
2017-02-10,SELL,GOLDBEES.NS,63,26.53,1671.29
2017-02-10,BUY,FACT.NS,1542,37.13,57256.3
2017-02-10,BUY,GPIL.NS,2382,24.04,57272.08
2017-02-17,SELL,CHAMBLFERT.NS,853,66.52,56733.74
2017-02-17,SELL,GPIL.NS,2382,21.61,51467.62
2017-02-17,SELL,GOLDBEES.NS,62,26.86,1665.4
2017-02-17,BUY,OLECTRA.NS,1209,46.68,56443.93
2017-02-17,BUY,BEML.NS,111,504.68,56025.14
2017-02-24,BUY,GOLDBEES.NS,42,26.87,1128.51
2017-03-03,SELL,ADANIENT.NS,1161,50.55,58680.21
2017-03-03,BUY,GOLDBEES.NS,43,26.62,1144.71
2017-03-03,BUY,JINDALSTEL.NS,465,124.64,57962.71
2017-03-10,SELL,IDEA.NS,888,62.86,55813.67
2017-03-10,SELL,FACT.NS,1542,33.44,51558.79
2017-03-10,SELL,GOLDBEES.NS,2336,26.11,60993.87
2017-03-10,BUY,JSL.NS,840,69.52,58402.53
2017-03-10,BUY,ESCORTS.NS,119,487.79,58052.87
2017-03-24,SELL,BEML.NS,111,509.79,56580.91
2017-03-24,BUY,GPIL.NS,2352,25.21,59310.75
2017-04-07,BUY,GOLDBEES.NS,2572,26.51,68200.83
2017-04-14,SELL,GPIL.NS,2352,26.62,62604.45
2017-04-14,SELL,GOLDBEES.NS,26,26.78,696.18
2017-04-14,BUY,IIFL.NS,295,215.28,63513.36
2017-04-21,SELL,JINDALSTEL.NS,465,110.44,51349.1
2017-04-21,BUY,GOLDBEES.NS,94,26.77,2516.49
2017-04-21,BUY,ADANIENT.NS,846,77.9,65912.96
2017-04-28,SELL,OLECTRA.NS,1209,84.73,102423.74
2017-04-28,SELL,JSL.NS,840,70.99,59629.7
2017-04-28,SELL,ADANIENT.NS,846,58.15,49193.43
2017-04-28,SELL,GOLDBEES.NS,2640,26.41,69715.43
2017-04-28,BUY,ITI.NS,526,115.15,60574.96
2017-04-28,BUY,HEG.NS,1155,52.51,60650.89
2017-04-28,BUY,SUNTV.NS,83,726.07,60270.18
2017-05-05,SELL,SUNTV.NS,83,671.72,55747.37
2017-05-05,BUY,OLECTRA.NS,601,99.65,59898.28
2017-05-12,SELL,ITI.NS,526,102.85,54093.69
2017-05-12,BUY,MOTILALOFS.NS,61,981.98,59906.83
2017-05-19,SELL,IIFL.NS,295,227.13,66995.31
2017-05-19,SELL,HEG.NS,1155,46.21,53362.11
2017-05-19,BUY,GOLDBEES.NS,2418,26.23,63424.44
2017-05-19,BUY,GRAVITA.NS,762,77.69,59202.75
2017-05-19,BUY,CEATLTD.NS,36,1631.67,58745.82
2017-05-26,SELL,OLECTRA.NS,601,82.73,49715.22
2017-05-26,SELL,GOLDBEES.NS,83,26.31,2183.39
2017-05-26,BUY,KEC.NS,241,237.8,57316.08
2017-06-02,SELL,GOLDBEES.NS,2335,26.18,61123.02
2017-06-09,BUY,GOLDBEES.NS,2467,26.36,65027.99
2017-06-16,SELL,GOLDBEES.NS,2467,26.11,64398.3
2017-06-23,SELL,GRAVITA.NS,762,74.94,57099.74
2017-06-23,SELL,KEC.NS,241,226.49,54578.51
2017-06-23,BUY,PCBL.NS,1304,45.36,59152.6
2017-06-23,BUY,HSCL.NS,837,70.66,59149.58
2017-06-30,SELL,ESCORTS.NS,119,617.48,73472.62
2017-06-30,SELL,MOTILALOFS.NS,61,1099.9,67086.92
