Date,Total Equity,Cash,Invested Value,Active Positions,Holdings
2024-04-01,10166512.434925407,92.30431017372757,10166420.130615234,3,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104"
2024-04-02,10237014.500147548,92.31948348498901,10236922.180664062,3,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104"
2024-04-03,10106330.164004993,92.33465929049339,10106237.829345703,3,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104"
2024-04-04,10092003.80690978,30.20245573828369,10091973.60445404,4,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1"
2024-04-05,10033571.508647146,10.855485144020463,10033560.653162003,5,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1, JPPOWER.NS: 1"
2024-04-08,10182907.958294513,10.860838533954501,10182897.097455978,5,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1, JPPOWER.NS: 1"
2024-04-09,10279229.852965064,10.862623877275151,10279218.990341187,5,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1, JPPOWER.NS: 1"
2024-04-10,10311198.939669676,10.864409514076895,10311188.075260162,5,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1, JPPOWER.NS: 1"
2024-04-12,10179191.370872915,10.867981374739058,10179180.50289154,5,"LT.NS: 1285, DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1, JPPOWER.NS: 1"
2024-04-15,9939867.086683705,10.97514768017669,9939856.111536026,7,"DIXON.NS: 459, ABREL.NS: 1104, MAHABANK.NS: 1, JPPOWER.NS: 1, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-16,9911219.5620563,83.82687258353806,9911135.735183716,5,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-18,9864337.47557163,83.85443210329156,9864253.621139526,5,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-19,9891067.387320397,83.86821639350032,9890983.519104004,5,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-22,10162791.20156825,83.90957606185876,10162707.291992188,5,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-23,10341067.704283724,83.92336941682782,10340983.780914307,5,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-24,10438528.3471687,83.93716503919771,10438444.410003662,5,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1"
2024-04-25,10578325.793933984,7.407985803260573,10578318.385948181,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-04-26,10869903.365937257,7.40920355435152,10869895.956733704,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-04-29,10810429.086181993,7.412857408159145,10810421.673324585,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-04-30,10735578.62022983,7.414075960061856,10735571.20615387,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-05-02,10770091.464159034,7.416513464487082,10770084.047645569,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-05-03,10735605.73799934,7.4177326173853535,10735598.320266724,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-05-06,10717687.888370657,7.421390677306256,10717680.46697998,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-05-07,10468417.756976476,7.422610631938142,10468410.334365845,6,"DIXON.NS: 459, ABREL.NS: 1104, CDSL.NS: 2729, IRCTC.NS: 1864, GPIL.NS: 1, NMDC.NS: 1"
2024-05-08,10610370.082352025,383.46878848737106,10609986.613563538,6,"DIXON.NS: 459, CDSL.NS: 2729, GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620"
2024-05-09,10336752.658858022,5.21734495995679,10336747.441513062,7,"DIXON.NS: 459, CDSL.NS: 2729, GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620, ASHOKLEY.NS: 4"
2024-05-10,10390716.169694915,5.218202605703633,10390710.95149231,7,"DIXON.NS: 459, CDSL.NS: 2729, GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620, ASHOKLEY.NS: 4"
2024-05-13,10498965.370778672,377.7709175267184,10498587.599861145,8,"DIXON.NS: 459, GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620, ASHOKLEY.NS: 4, POLYCAB.NS: 432, HINDZINC.NS: 1"
2024-05-14,10370641.685555918,377.8330168556269,10370263.852539062,8,"DIXON.NS: 459, GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620, ASHOKLEY.NS: 4, POLYCAB.NS: 432, HINDZINC.NS: 1"
2024-05-15,10484475.746106355,290.1422550370868,10484185.603851318,10,"GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620, ASHOKLEY.NS: 4, POLYCAB.NS: 432, HINDZINC.NS: 1, HAL.NS: 879, M&M.NS: 80, VEDL.NS: 1"
2024-05-16,10848850.77000489,290.18994965435314,10848560.580055237,10,"GPIL.NS: 1, NMDC.NS: 1, TEJASNET.NS: 1685, DABUR.NS: 3620, ASHOKLEY.NS: 4, POLYCAB.NS: 432, HINDZINC.NS: 1, HAL.NS: 879, M&M.NS: 80, VEDL.NS: 1"
