Date,Action,Ticker,Shares,Price,Total Value,Entry Date,Entry Price,PnL %,Days Held
2024-04-01,BUY,LT.NS,1285,3680.75,4730232.57,2024-04-01,3680.75,0.0,0
2024-04-01,BUY,DIXON.NS,459,7513.97,3449256.62,2024-04-01,7513.97,0.0,0
2024-04-01,BUY,ABREL.NS,1104,1654.72,1826993.84,2024-04-01,1654.72,0.0,0
2024-04-04,BUY,MAHABANK.NS,1,62.14,62.15,2024-04-04,62.14,0.0,0
2024-04-05,BUY,JPPOWER.NS,1,19.35,19.35,2024-04-05,19.35,0.0,0
2024-04-15,SELL,LT.NS,1285,3530.05,4535654.65,2024-04-01,3680.75,-4.09,14
2024-04-15,BUY,CDSL.NS,2729,967.42,2640341.12,2024-04-15,967.42,0.0,0
2024-04-15,BUY,IRCTC.NS,1864,1016.61,1895152.45,2024-04-15,1016.61,0.0,0
2024-04-15,BUY,GPIL.NS,1,160.96,160.97,2024-04-15,160.96,0.0,0
2024-04-16,SELL,MAHABANK.NS,1,56.16,56.15,2024-04-04,62.14,-9.63,12
2024-04-16,SELL,JPPOWER.NS,1,16.7,16.7,2024-04-05,19.35,-13.7,11
2024-04-25,BUY,NMDC.NS,1,76.54,76.54,2024-04-25,76.54,0.0,0
2024-05-08,SELL,ABREL.NS,1104,1851.09,2043403.13,2024-04-01,1654.72,11.87,37
2024-05-08,SELL,IRCTC.NS,1864,962.18,1793321.3,2024-04-15,1016.61,-5.35,23
2024-05-08,BUY,TEJASNET.NS,1685,1106.02,1863837.51,2024-05-08,1106.02,0.0,0
2024-05-08,BUY,DABUR.NS,3620,544.84,1972510.88,2024-05-08,544.84,0.0,0
2024-05-09,BUY,ASHOKLEY.NS,4,94.57,378.31,2024-05-09,94.57,0.0,0
2024-05-13,SELL,CDSL.NS,2729,982.85,2681919.16,2024-04-15,967.42,1.6,28
2024-05-13,BUY,POLYCAB.NS,432,6205.55,2681064.14,2024-05-13,6205.55,0.0,0
2024-05-13,BUY,HINDZINC.NS,1,482.43,482.48,2024-05-13,482.43,0.0,0
2024-05-15,SELL,DIXON.NS,459,8088.51,3712253.58,2024-04-01,7513.97,7.65,44
2024-05-15,BUY,HAL.NS,879,4018.05,3532217.97,2024-05-15,4018.05,0.0,0
2024-05-15,BUY,M&M.NS,80,2246.67,179751.39,2024-05-15,2246.67,0.0,0
2024-05-15,BUY,VEDL.NS,1,371.94,371.98,2024-05-15,371.94,0.0,0
2024-05-17,BUY,IRCON.NS,1,254.64,254.66,2024-05-17,254.64,0.0,0
2024-05-28,SELL,GPIL.NS,1,177.96,177.94,2024-04-15,160.96,10.57,43
2024-05-28,BUY,UNIONBANK.NS,1,150.02,150.03,2024-05-28,150.02,0.0,0
2024-05-28,BUY,UCOBANK.NS,1,59.66,59.67,2024-05-28,59.66,0.0,0
2024-05-29,SELL,NMDC.NS,1,78.71,78.7,2024-04-25,76.54,2.84,34
2024-06-03,SELL,TEJASNET.NS,1685,1195.7,2014556.39,2024-05-08,1106.02,8.11,26
2024-06-03,SELL,DABUR.NS,3620,546.35,1977590.2,2024-05-08,544.84,0.28,26
2024-06-03,BUY,ADANIENT.NS,1003,3720.04,3731569.04,2024-06-03,3720.04,0.0,0
2024-06-03,BUY,IDEA.NS,15892,16.4,260654.86,2024-06-03,16.4,0.0,0
2024-06-05,SELL,ASHOKLEY.NS,4,102.39,409.52,2024-05-09,94.57,8.27,27
2024-06-05,SELL,HAL.NS,879,4326.66,3802753.06,2024-05-15,4018.05,7.68,21
2024-06-05,SELL,VEDL.NS,1,364.28,364.24,2024-05-15,371.94,-2.06,21
2024-06-05,SELL,IRCON.NS,1,230.46,230.43,2024-05-17,254.64,-9.5,19
2024-06-05,SELL,UNIONBANK.NS,1,133.86,133.84,2024-05-28,150.02,-10.77,8
2024-06-05,SELL,UCOBANK.NS,1,52.48,52.47,2024-05-28,59.66,-12.04,8
2024-06-05,SELL,ADANIENT.NS,1003,3025.96,3034736.51,2024-06-03,3720.04,-18.66,2
2024-06-05,SELL,IDEA.NS,15892,13.65,216904.1,2024-06-03,16.4,-16.77,2
2024-06-05,BUY,HINDUNILVR.NS,2079,2435.29,5063475.73,2024-06-05,2435.29,0.0,0
2024-06-06,BUY,HEROMOTOCO.NS,376,5291.76,1989899.71,2024-06-06,5291.76,0.0,0
2024-06-06,BUY,DABUR.NS,4,585.62,2342.71,2024-06-06,585.62,0.0,0
2024-06-07,BUY,DEVYANI.NS,1,170.85,170.87,2024-06-07,170.85,0.0,0
2024-06-19,SELL,HINDZINC.NS,1,600.77,600.71,2024-05-13,482.43,24.53,37
2024-06-19,BUY,GMRAIRPORT.NS,6,98.6,591.66,2024-06-19,98.6,0.0,0
2024-06-24,SELL,HINDUNILVR.NS,2079,2363.37,4912946.29,2024-06-05,2435.29,-2.95,19
