entry_sma,exit_sma,ranking_method,abs_return,cagr,max_dd,ret_dd_ratio,trades,win_rate,profit_factor,payoff_ratio,avg_days
30,21,turnover,43.38,19.82,-12.32,1.61,395,31.14,1.15,2.54,13.0
15,21,momentum,37.83,17.46,-23.3,0.75,539,27.83,1.07,2.77,12.0
21,10,turnover,37.82,17.46,-18.55,0.94,533,33.58,1.08,2.14,8.0
21,21,turnover,36.68,16.97,-22.49,0.75,434,25.35,1.01,2.98,12.0
30,15,turnover,31.36,14.66,-16.79,0.87,484,33.06,1.02,2.06,10.0
10,21,momentum,27.81,13.1,-17.55,0.75,586,30.2,1.23,2.84,13.0
15,15,momentum,22.47,10.71,-21.84,0.49,618,27.35,1.01,2.69,10.0
10,21,turnover,21.44,10.24,-20.49,0.5,583,30.36,1.14,2.61,12.0
10,10,momentum,18.53,8.9,-14.62,0.61,776,29.12,1.09,2.65,8.0
15,21,turnover,16.38,7.91,-21.03,0.38,486,29.63,1.24,2.95,13.0
10,10,turnover,14.01,6.8,-16.19,0.42,610,29.67,0.96,2.27,8.0
15,10,turnover,11.08,5.41,-15.02,0.36,561,32.98,0.99,2.02,8.0
21,15,turnover,6.93,3.42,-18.55,0.18,521,29.17,0.89,2.16,10.0
10,15,turnover,5.53,2.74,-20.39,0.13,605,27.44,1.05,2.77,9.0
10,15,momentum,2.61,1.3,-20.01,0.07,738,27.51,1.08,2.84,10.0
30,21,momentum,2.15,1.07,-27.16,0.04,564,26.77,1.05,2.87,11.0
15,10,momentum,-0.39,-0.2,-25.49,0.01,692,29.48,0.9,2.16,8.0
21,21,momentum,-1.17,-0.59,-36.02,0.02,538,27.51,1.26,3.33,13.0
30,10,turnover,-2.63,-1.33,-20.37,0.07,542,34.5,0.88,1.66,8.0
21,15,momentum,-7.79,-3.99,-24.92,0.16,576,28.99,0.93,2.27,10.0
21,10,momentum,-8.29,-4.25,-29.02,0.15,620,30.81,0.76,1.7,7.0
15,15,turnover,-13.14,-6.82,-22.33,0.31,581,29.95,1.1,2.57,10.0
30,15,momentum,-22.49,-12.0,-36.87,0.33,592,29.22,0.83,2.01,9.0
30,10,momentum,-24.24,-13.0,-33.93,0.38,628,31.05,0.84,1.87,8.0
