,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
360ONE,0,1235,1236 days,10000,14541.25415,45.41254154,472.2171113,100,0,41.61946918,409 days,4,3,1,-243.003631,33.33333333,81.31956665,-12.3897088,81.31956665,-9.660924148,378 days 00:00:00,174 days 00:00:00,3.591271137,1594.752595,0.488579534,0.280898245,1.088518602,0.710611621
3MINDIA,0,1235,1236 days,10000,12043.15832,20.43158325,67.30708146,100,0,34.61165609,453 days,3,3,0,0,66.66666667,35.39639271,-15.2573584,20.17910051,-15.2573584,251 days 00:00:00,118 days 00:00:00,1.942289334,681.0527749,0.351893119,0.163055232,1.075659412,0.597945525
ABB,0,1235,1236 days,10000,37563.61134,275.6361134,516.2448637,100,0,26.44236149,342 days,1,1,0,0,100,275.6361134,275.6361134,275.6361134,,821 days 00:00:00,,,27563.61134,1.345673312,1.80846017,1.275499544,2.118415258
ACC,0,1235,1236 days,10000,10118.1198,1.181198025,16.97282335,100,0,33.68853305,980 days,3,3,0,0,33.33333333,32.94214281,-19.91788165,32.94214281,-12.43947015,199 days 00:00:00,102 days 00:00:00,1.049441538,39.3732675,0.137578008,0.010311357,1.039280038,0.183952922
ACMESOLAR,0,238,239 days,10000,9548.387097,-4.516129032,14.11173935,100,0,16.26411543,32 days,1,0,1,-451.6129032,,,,,,,,,,-0.371446787,-0.418978685,0.873998745,-0.552816959
AIAENG,0,1235,1236 days,10000,14909.50201,49.09502013,102.6240232,100,0,28.97452448,303 days,2,2,0,0,50,65.45056957,-9.885459736,65.45056957,-9.885459736,600 days 00:00:00,51 days 00:00:00,5.966387143,2454.751007,0.614341075,0.432061094,1.125664981,0.958913169
APLAPOLLO,0,1235,1236 days,10000,13437.83267,34.37832674,481.5112907,100,0,42.00517499,530 days,5,4,1,959.1567444,50,43.20102559,-12.04529061,26.99114717,-11.30623324,271 days 00:00:00,42 days 12:00:00,1.732184644,619.6689825,0.433463549,0.217069564,1.081672049,0.635669383
AUBANK,0,1235,1236 days,10000,9371.287072,-6.287129277,129.4349677,100,0,41.62799977,872 days,4,3,1,1712.930009,33.33333333,2.04778157,-23.46775236,2.04778157,-12.7043632,221 days 00:00:00,89 days 00:00:00,0.080418026,-780.5476454,0.05005979,-0.045625541,1.01139132,0.069484999
AWL,0,920,921 days,10000,10107.2583,1.072583015,2.665424045,100,0,4.716426682,247 days,1,1,0,0,100,1.072583015,1.072583015,1.072583015,,6 days 00:00:00,,,107.2583015,0.126872715,0.089836074,1.237196142,0.16754259
AADHARHFC,0,363,364 days,10000,11369.27164,13.6927164,55.88101381,100,0,6.696304529,24 days,1,0,1,1369.27164,,,,,,,,,,0.984805585,2.050803705,1.373159348,1.697769711
