,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,360ONE.NS,45.788423611109174,2020-11-27,218.39581298828122,0.0,2021-05-31,261.3907470703125,0.0,1968.670254879762,0.19686702548797622,Long,Closed,0
1,1,3MINDIA.NS,0.4922615901164641,2020-11-27,20314.40234375,0.0,2021-05-31,23723.142578125,0.0,1677.9918880674068,0.1677991888067407,Long,Closed,1
2,2,AARTIIND.NS,17.566092637980244,2020-11-27,569.278564453125,0.0,2021-05-31,826.5453491210938,0.0,4519.172172152856,0.45191721721528555,Long,Closed,2
3,3,AAVAS.NS,6.2200661216111,2020-11-27,1607.699951171875,0.0,2021-05-31,2302.699951171875,0.0,4322.945954519713,0.43229459545197135,Long,Closed,3
4,4,ABB.NS,9.519880536655375,2020-11-27,1050.433349609375,0.0,2021-05-31,1638.584716796875,0.0,5599.130753095529,0.5599130753095529,Long,Closed,4
5,5,ABBOTINDIA.NS,0.6974041649875731,2020-11-27,14338.8876953125,0.0,2021-05-31,14925.5166015625,0.0,409.11744252085555,0.040911744252085554,Long,Closed,5
6,6,ABCAPITAL.NS,113.0582288866742,2020-11-27,88.44999694824219,0.0,2021-05-31,121.1500015258789,0.0,3697.0046021337457,0.36970046021337455,Long,Closed,6
7,7,ABCAPITAL.NS,49.29639842091923,2025-08-29,277.8500061035156,0.0,2025-10-30,326.79998779296875,0.0,2413.0578000599835,0.17617412493853385,Long,Open,7
8,8,ABFRL.NS,61.48171149864486,2020-11-27,162.64999389648438,0.0,2021-05-31,195.1499938964844,0.0,1998.1556237059594,0.19981556237059594,Long,Closed,8
9,9,ADANIENT.NS,7.61550618202101,2021-05-31,1313.1103515625,0.0,2021-08-31,1584.7720947265625,0.0,2068.8416844845215,0.20688416844845214,Long,Closed,9
10,10,ADANIGREEN.NS,5.325239039332598,2022-01-31,1877.8499755859373,0.0,2022-05-31,1888.949951171875,0.0,59.11002332587486,0.0059110023325874865,Long,Closed,10
11,11,ADANIPOWER.NS,270.12425381812346,2022-03-31,37.02000045776367,0.0,2022-10-31,66.9800033569336,0.0,8092.923427527088,0.8092923427527087,Long,Closed,11
12,12,AIIL.NS,6.039065351430183,2024-10-31,1655.8853759765625,0.0,2024-12-31,1703.1934814453125,0.0,285.69674057813245,0.028569674057813244,Long,Closed,12
13,13,AIIL.NS,6.098450295010208,2025-01-31,1686.6082763671875,0.0,2025-02-28,1408.354248046875,0.0,-1696.9183610977889,-0.16497845541209388,Long,Closed,13
14,14,AIIL.NS,3.264826296763481,2025-06-30,2630.699951171875,0.0,2025-10-30,2919.10009765625,0.0,941.576382232628,0.10962867367519585,Long,Open,14
15,15,AMBER.NS,1.5380356671071997,2025-01-31,6501.7998046875,0.0,2025-04-30,6155.5,0.0,-532.6214511216313,-0.05326214511216312,Long,Closed,15
16,16,ANANDRATHI.NS,7.7828538182061395,2023-11-30,1284.875732421875,0.0,2024-05-31,2076.8896484375,0.0,6164.128530334603,0.6164128530334603,Long,Closed,16
17,17,ANANDRATHI.NS,5.14879564029645,2025-10-30,3139.39990234375,0.0,2025-10-30,3139.39990234375,0.0,0.0,0.0,Long,Open,17
18,18,ANANTRAJ.NS,88.41075873782366,2022-10-31,113.1084060668945,0.0,2023-01-31,110.82137298583984,0.0,-202.19832995454635,-0.020219832995454635,Long,Closed,18
19,19,ANANTRAJ.NS,13.926171047927387,2024-09-30,703.5531616210938,0.0,2025-01-31,597.5806884765625,0.0,-1475.7907873826334,-0.15062468470805318,Long,Closed,19
20,20,ANGELONE.NS,9.104763462868748,2021-07-30,1098.326171875,0.0,2021-11-30,942.439453125,0.0,-1419.3117012214952,-0.14193117012214954,Long,Closed,20
21,21,APARINDS.NS,7.664603249185496,2022-08-30,1304.698974609375,0.0,2023-01-31,1648.390625,0.0,2634.2601403019107,0.26342601403019106,Long,Closed,21
22,22,APARINDS.NS,5.62188685931061,2023-02-28,2247.33447265625,0.0,2023-09-29,5412.046875,0.0,17791.655068233642,1.4082071186329466,Long,Closed,22
23,23,ATGL.NS,7.423402439301769,2021-05-31,1347.0911865234375,0.0,2021-07-30,891.5552978515625,0.0,-3381.6262271562964,-0.33816262271562963,Long,Closed,23
24,24,ATGL.NS,4.561623416259231,2021-08-31,1450.8812255859375,0.0,2021-09-30,1421.56396484375,0.0,-133.73430310214007,-0.02020652016525182,Long,Closed,24
25,25,ATGL.NS,2.075744003373372,2022-07-29,3124.00732421875,0.0,2022-09-30,3336.43994140625,0.0,440.9557312478637,0.0680000381371144,Long,Closed,25
26,26,AWL.NS,14.44773480787705,2022-08-30,692.1500244140625,0.0,2022-09-30,755.5,0.0,915.2636473511102,0.09152636473511101,Long,Closed,26
27,27,BAJAJHLDNG.NS,0.8700093831871366,2025-02-28,11494.12890625,0.0,2025-03-28,12386.6015625,0.0,776.4595851754475,0.07764595851754474,Long,Closed,27
28,28,BAJFINANCE.NS,11.795252727544204,2025-02-28,847.7987060546875,0.0,2025-03-28,889.0739135742188,0.0,486.8515040747043,0.04868515040747043,Long,Closed,28
29,29,BASF.NS,1.3594315876674066,2024-09-30,7356.015625,0.0,2024-11-29,5992.93310546875,0.0,-1853.0174336480559,-0.1853017433648056,Long,Closed,29
30,30,BDL.NS,26.069764944090185,2022-05-31,383.5861206054688,0.0,2022-09-30,428.6714172363281,0.0,1175.363085601084,0.11753630856010841,Long,Closed,30
31,31,BDL.NS,7.208810839294567,2024-05-31,1550.2366943359375,0.0,2024-07-31,1453.43115234375,0.0,-697.8528404170665,-0.06244565255478959,Long,Closed,31
32,32,BDL.NS,6.852603467040115,2025-04-30,1528.982421875,0.0,2025-07-31,1618.346435546875,0.0,612.3761499165103,0.05844672403904245,Long,Closed,32
33,33,BLS.NS,154.20416710784832,2021-09-30,64.84909057617188,0.0,2021-11-30,47.70634841918945,0.0,-2643.4822762620743,-0.2643482276262074,Long,Closed,33
34,34,BLS.NS,79.55852501916306,2022-05-31,92.46674346923828,0.0,2022-12-30,163.810302734375,0.0,5675.988344751521,0.7715591204839088,Long,Closed,34
35,35,BLUEJET.NS,13.348780897164525,2025-01-31,749.132080078125,0.0,2025-07-31,804.5346069335938,0.0,739.5561921429271,0.07395561921429271,Long,Closed,35
36,36,BSE.NS,47.993919910878475,2022-02-28,208.35972595214844,0.0,2022-06-30,194.42947387695312,0.0,-668.5674024352738,-0.06685674024352738,Long,Closed,36
37,37,BSE.NS,21.755376571839918,2023-09-29,428.9253540039063,0.0,2024-04-30,922.0432739257812,0.0,10727.96604222279,1.1496590614631375,Long,Closed,37
38,38,BSE.NS,11.33586119543417,2024-12-31,1769.55224609375,0.0,2025-07-31,2427.39990234375,0.0,7457.269718991694,0.37175938585717677,Long,Closed,38
39,39,CGPOWER.NS,51.918626805557864,2021-12-31,192.60910034179688,0.0,2022-04-29,195.9256591796875,0.0,172.19118058311687,0.017219118058311687,Long,Closed,39
40,40,CHAMBLFERT.NS,14.731344919461785,2025-04-30,678.8246459960938,0.0,2025-05-30,540.0020141601562,0.0,-2045.0440722026515,-0.20450440722026514,Long,Closed,40
41,41,CHENNPETRO.NS,40.7192600994309,2022-04-29,245.5840301513672,0.0,2022-10-31,184.9124755859375,0.0,-2470.500810986545,-0.24705008109865448,Long,Closed,41
42,42,CHENNPETRO.NS,22.625424070925654,2023-05-31,332.789306640625,0.0,2023-07-31,357.420654296875,0.0,557.2946861610571,0.07401484111642173,Long,Closed,42
43,43,CHOICEIN.NS,72.85974499089254,2022-10-31,137.25,0.0,2022-11-30,133.8000030517578,0.0,-251.36589786828335,-0.025136589786828336,Long,Closed,43
44,44,COCHINSHIP.NS,31.182212968386235,2022-11-30,320.6956481933594,0.0,2022-12-30,256.8497619628906,0.0,-1990.8560215938342,-0.19908560215938342,Long,Closed,44
45,45,COCHINSHIP.NS,6.208091817468096,2024-04-30,1290.1136474609375,0.0,2024-09-30,1724.05029296875,0.0,2693.9185382766036,0.33635536401141064,Long,Closed,45
46,46,COFORGE.NS,6.838910025339531,2025-02-28,1462.2213134765625,0.0,2025-04-30,1450.87060546875,0.0,-77.6264707893315,-0.007762647078933151,Long,Closed,46
47,47,CREDITACC.NS,9.4067155129967,2022-05-31,1063.0703125,0.0,2022-08-30,989.80126953125,0.0,-689.221043116564,-0.0689221043116564,Long,Closed,47
48,48,DBREALTY.NS,121.21212121212122,2022-01-31,82.5,0.0,2022-06-30,54.34999847412109,0.0,-3412.121397076232,-0.3412121397076232,Long,Closed,48
49,49,DBREALTY.NS,43.570626560124126,2023-08-31,151.1999969482422,0.0,2023-10-31,171.0,0.0,862.6985388574576,0.13095240377905312,Long,Closed,49
50,50,DBREALTY.NS,29.501393988319606,2024-01-31,252.5500030517578,0.0,2024-02-29,268.1499938964844,0.0,460.2214761244577,0.06176990954749467,Long,Closed,50
51,51,DEEPAKFERT.NS,25.46454849617884,2021-08-31,392.7028198242188,0.0,2021-09-30,390.49798583984375,0.0,-56.14510192114176,-0.005614510192114176,Long,Closed,51
52,52,DEEPAKFERT.NS,16.015105879818574,2022-05-31,620.9047241210938,0.0,2022-07-29,681.3463134765625,0.0,967.9784530723464,0.09734438635657874,Long,Closed,52
53,53,DEEPAKFERT.NS,10.302297516173313,2024-09-30,1059.1650390625,0.0,2025-01-31,1127.773681640625,0.0,706.8266480206385,0.06477615862288327,Long,Closed,53
54,54,DELHIVERY.NS,21.365239313761656,2025-08-29,468.0499877929688,0.0,2025-10-30,475.2999877929688,0.0,154.89798502477242,0.015489798502477243,Long,Open,54
55,55,ECLERX.NS,2.1180607912404947,2025-10-30,4721.2998046875,0.0,2025-10-30,4721.2998046875,0.0,0.0,0.0,Long,Open,55
56,56,ELECON.NS,173.43309388234582,2021-05-31,57.65912246704102,0.0,2021-10-29,84.43795776367188,0.0,4644.336256060455,0.46443362560604545,Long,Closed,56
57,57,ELECON.NS,81.70852187623447,2022-07-29,179.22654724121094,0.0,2022-12-30,180.4141540527344,0.0,97.03759713972977,0.006626288514754054,Long,Closed,57
58,58,FACT.NS,26.872904398543675,2022-12-30,372.1220397949219,0.0,2023-06-30,432.9712219238281,0.0,1635.19425407967,0.163519425407967,Long,Closed,58
59,59,FINCABLES.NS,12.573603429438057,2023-03-31,795.3169555664062,0.0,2023-05-31,783.914794921875,0.0,-143.36624618308088,-0.014336624618308088,Long,Closed,59
60,60,FLUOROCHEM.NS,5.705760505717601,2021-08-31,1752.61474609375,0.0,2022-01-31,2782.369384765625,0.0,5875.533347913482,0.5875533347913482,Long,Closed,60
61,61,FORCEMOT.NS,3.6846411365534664,2023-06-30,2713.968505859375,0.0,2023-07-31,2531.009033203125,0.0,-674.1399992713468,-0.06741399992713468,Long,Closed,61
62,62,FORCEMOT.NS,2.7373109436969023,2023-08-31,3406.942138671875,0.0,2024-02-07,3336.982421875,0.0,-191.5014984060217,-0.020534459920163846,Long,Closed,62
