momentum_lookback_days,skip_latest_period,portfolio_size,drawdown_limit,exit_rank,regime_filter,liquidate_on_bear_market,allocate_in_gold,entry_rank,Abs Return %,CAGR %,Max DD %,Ret/DD Ratio,Alpha %,Total Trades
90,True,10,0.1,30,200dma,True,True,10,3432.62,42.82,-22.71,1.89,28.78,668
90,True,15,0.1,30,200dma,True,True,10,3356.65,42.51,-23.21,1.83,28.47,978
60,True,10,0.12,50,200dma,True,True,10,5034.53,48.26,-27.35,1.76,34.23,574
60,True,10,0.1,50,200dma,True,True,10,3938.74,44.74,-25.66,1.74,30.71,663
90,True,10,0.1,50,200dma,True,True,10,3904.3,44.62,-26.18,1.7,30.59,595
90,True,10,0.15,30,200dma,True,True,10,4653.97,47.12,-29.28,1.61,33.09,480
90,True,15,0.1,50,200dma,True,True,10,3554.09,43.3,-27.12,1.6,29.27,885
90,True,10,0.12,30,200dma,True,True,10,4765.36,47.46,-30.13,1.58,33.43,575
90,True,10,0.12,50,200dma,True,True,10,5201.44,48.74,-31.7,1.54,34.7,511
90,True,15,0.1,30,60roc,True,True,10,3469.22,42.97,-29.57,1.45,28.93,994
90,True,10,0.15,30,60roc,True,True,10,5341.43,49.12,-35.33,1.39,35.09,536
90,True,15,0.1,50,60roc,True,True,10,3629.73,43.6,-31.54,1.38,29.56,905
90,True,15,0.12,30,200dma,True,True,10,2521.11,38.62,-28.5,1.36,24.59,856
90,True,10,0.15,50,200dma,True,True,10,4477.92,46.57,-34.7,1.34,32.53,430
60,True,15,0.12,50,200dma,True,True,10,2376.96,37.84,-28.26,1.34,23.8,874
60,True,15,0.1,50,200dma,True,True,10,2004.12,35.61,-27.15,1.31,21.57,975
90,True,10,0.1,30,60roc,True,True,10,3416.52,42.75,-32.89,1.3,28.72,698
60,True,10,0.15,50,200dma,True,True,10,3100.2,41.42,-32.12,1.29,27.38,510
90,True,10,0.1,50,60roc,True,True,10,3924.0,44.69,-35.43,1.26,30.66,632
90,True,10,0.12,50,60roc,True,True,10,5014.27,48.2,-38.57,1.25,34.17,556
90,True,10,0.15,50,60roc,True,True,10,4889.87,47.84,-38.91,1.23,33.8,483
90,True,15,0.12,50,200dma,True,True,10,2891.95,40.47,-33.38,1.21,26.43,746
90,True,15,0.12,50,60roc,True,True,10,2785.69,39.96,-32.99,1.21,25.93,794
60,True,10,0.12,30,200dma,True,True,10,3101.72,41.42,-34.47,1.2,27.39,673
90,True,15,0.12,30,60roc,True,True,10,2500.85,38.51,-32.03,1.2,24.48,885
90,True,10,0.12,30,60roc,True,True,10,4626.79,47.04,-39.64,1.19,33.0,620
60,True,15,0.1,30,200dma,True,True,10,1486.23,31.83,-27.52,1.16,17.8,1096
90,True,15,0.15,30,200dma,True,True,10,1985.28,35.49,-30.84,1.15,21.45,747
60,True,15,0.15,50,200dma,True,True,10,1844.59,34.54,-30.36,1.14,20.51,768
90,True,15,0.15,30,60roc,True,True,10,1950.08,35.26,-30.97,1.14,21.22,795
90,True,10,0.1,30,200dma,True,False,10,1110.51,28.32,-25.09,1.13,14.28,664
90,True,15,0.15,50,60roc,True,True,10,2718.94,39.63,-35.25,1.12,25.6,698
60,True,15,0.15,30,200dma,True,True,10,2686.6,39.47,-35.63,1.11,25.44,896
60,True,10,0.1,30,200dma,True,True,10,2716.81,39.62,-35.72,1.11,25.59,748
60,True,10,0.15,30,200dma,True,True,10,2698.39,39.53,-36.09,1.1,25.5,592
90,True,15,0.15,50,200dma,True,True,10,2462.67,38.31,-34.78,1.1,24.27,647
90,True,10,0.1,50,200dma,True,False,10,1571.1,32.52,-29.82,1.09,18.49,596
60,True,15,0.15,30,60roc,True,True,10,2907.55,40.54,-37.96,1.07,26.51,961
90,True,15,0.1,30,200dma,True,False,10,913.95,26.06,-24.29,1.07,12.03,978
60,True,10,0.12,50,200dma,True,False,10,1602.36,32.77,-30.56,1.07,18.73,578
90,True,10,0.15,30,200dma,True,False,10,1593.32,32.7,-30.51,1.07,18.66,479
60,True,15,0.12,30,200dma,True,True,10,1105.98,28.27,-27.34,1.03,14.23,997
60,True,10,0.1,50,200dma,True,False,10,1400.98,31.11,-30.24,1.03,17.07,660
90,True,10,0.12,50,200dma,True,False,10,1814.88,34.34,-34.05,1.01,20.3,511
60,True,10,0.15,50,60roc,True,True,10,3978.17,44.89,-44.48,1.01,30.85,575
60,True,15,0.1,50,60roc,True,True,10,2019.46,35.71,-36.6,0.98,21.67,1027
90,True,10,0.12,30,200dma,True,False,10,1505.13,31.99,-32.76,0.98,17.95,574
60,True,10,0.15,30,60roc,True,True,10,3273.58,42.16,-43.29,0.97,28.13,661
90,True,15,0.1,50,200dma,True,False,10,966.93,26.71,-27.92,0.96,12.67,886
90,True,10,0.15,30,60roc,True,False,10,1593.25,32.7,-34.41,0.95,18.66,538
60,True,10,0.1,50,60roc,True,True,10,3210.71,41.9,-44.54,0.94,27.86,718
60,True,15,0.15,50,60roc,True,True,10,1954.54,35.29,-37.67,0.94,21.25,841
60,True,10,0.1,30,60roc,True,True,10,3035.87,41.13,-44.22,0.93,27.09,792
60,True,15,0.1,50,200dma,True,False,10,994.93,27.04,-28.92,0.93,13.0,973
60,True,15,0.12,50,200dma,True,False,10,1131.05,28.53,-30.98,0.92,14.5,872
60,True,10,0.12,30,60roc,True,True,10,3147.77,41.62,-45.28,0.92,27.59,727
60,True,15,0.12,50,60roc,True,True,10,2030.87,35.78,-39.26,0.91,21.75,936
90,True,15,0.1,30,60roc,True,False,10,890.19,25.76,-28.43,0.91,11.73,987
60,True,10,0.12,50,60roc,True,True,10,3584.79,43.42,-47.63,0.91,29.39,651
90,True,15,0.12,50,60roc,True,False,10,1164.86,28.88,-31.87,0.91,14.85,793
90,True,10,0.1,50,60roc,True,False,10,1318.45,30.37,-33.6,0.9,16.33,632
60,True,15,0.12,30,200dma,True,False,10,878.06,25.61,-28.62,0.89,11.57,996
90,True,15,0.12,30,200dma,True,False,10,897.26,25.85,-29.16,0.89,11.82,858
90,True,10,0.1,30,60roc,True,False,10,1130.28,28.52,-31.9,0.89,14.49,692
90,True,15,0.12,30,60roc,True,False,10,998.4,27.08,-31.05,0.87,13.04,885
90,True,15,0.1,50,60roc,True,False,10,962.68,26.66,-30.63,0.87,12.62,903
90,True,15,0.15,30,60roc,True,False,10,892.63,25.8,-29.81,0.87,11.76,796
60,True,15,0.1,30,60roc,True,True,10,1449.09,31.52,-36.8,0.86,17.48,1133
90,True,10,0.15,50,60roc,True,False,10,1614.06,32.86,-38.69,0.85,18.82,484
90,True,10,0.12,50,60roc,True,False,10,1578.4,32.58,-38.24,0.85,18.54,557
60,True,10,0.15,50,200dma,True,False,10,1104.72,28.25,-33.54,0.84,14.22,512
90,True,15,0.15,50,60roc,True,False,10,1095.9,28.16,-34.11,0.83,14.13,697
90,True,15,0.12,50,200dma,True,False,10,1085.93,28.05,-34.39,0.82,14.02,748
90,True,10,0.12,30,60roc,True,False,10,1403.01,31.12,-38.86,0.8,17.09,617
60,True,15,0.1,30,200dma,True,False,10,709.16,23.25,-29.26,0.79,9.22,1096
60,True,10,0.15,30,200dma,True,False,10,1084.75,28.04,-35.55,0.79,14.01,589
90,True,15,0.15,30,200dma,True,False,10,796.31,24.52,-30.97,0.79,10.48,746
90,True,10,0.15,50,200dma,True,False,10,1227.16,29.5,-37.76,0.78,15.47,431
90,True,15,0.15,50,200dma,True,False,10,1032.18,27.46,-35.46,0.77,13.43,646
60,True,10,0.12,30,200dma,True,False,10,1033.35,27.47,-36.52,0.75,13.44,671
60,True,15,0.12,30,60roc,True,True,10,1082.88,28.02,-37.38,0.75,13.99,1047
60,True,15,0.1,50,60roc,True,False,10,936.74,26.34,-35.71,0.74,12.31,1025
60,True,15,0.15,50,200dma,True,False,10,820.09,24.84,-33.43,0.74,10.81,768
60,True,10,0.1,30,200dma,True,False,10,909.79,26.01,-36.12,0.72,11.98,749
60,True,10,0.15,50,60roc,True,False,10,1269.18,29.91,-43.94,0.68,15.87,572
60,True,15,0.15,50,60roc,True,False,10,864.34,25.43,-37.53,0.68,11.4,841
60,True,15,0.12,50,60roc,True,False,10,902.85,25.92,-38.81,0.67,11.89,935
60,True,10,0.15,30,60roc,True,False,10,1098.01,28.18,-42.62,0.66,14.15,660
60,True,15,0.1,30,60roc,True,False,10,710.83,23.28,-35.75,0.65,9.24,1131
60,True,15,0.12,30,60roc,True,False,10,743.87,23.77,-36.32,0.65,9.73,1046
60,True,10,0.1,50,60roc,True,False,10,1093.8,28.14,-43.84,0.64,14.1,717
60,True,10,0.1,30,60roc,True,False,10,974.84,26.8,-43.88,0.61,12.77,791
60,True,15,0.15,30,60roc,True,False,10,660.03,22.48,-37.06,0.61,8.45,960
60,True,10,0.12,30,60roc,True,False,10,960.78,26.63,-44.72,0.6,12.6,724
60,True,15,0.15,30,200dma,True,False,10,624.02,21.89,-36.65,0.6,7.85,895
60,True,10,0.12,50,60roc,True,False,10,1007.49,27.18,-46.71,0.58,13.15,652
