Date,Action,Ticker,Shares,Execution_Price,Total_Amount
2026-04-17,BUY,SCHNEIDER.NS,24,1024.85,24596.4
2026-04-17,BUY,APARINDS.NS,2,11493.0,22986.0
2026-04-17,BUY,GVT&D.NS,6,4139.5,24837.0
2026-04-17,BUY,JINDALSAW.NS,106,235.2,24931.2
2026-04-17,BUY,HFCL.NS,264,94.6,24974.4
2026-04-17,BUY,WELCORP.NS,23,1083.05,24910.15
2026-04-17,BUY,SCI.NS,81,308.2,24964.2
2026-04-17,BUY,ABB.NS,3,7062.0,21186.0
2026-04-17,BUY,PREMIERENE.NS,24,1015.55,24373.2
2026-04-17,BUY,SYRMA.NS,25,983.5,24587.5
2026-04-24,SELL,JINDALSAW.NS,106,239.73,25411.38
2026-04-24,SELL,PREMIERENE.NS,24,1007.55,24181.2
2026-04-24,BUY,DATAPATTNS.NS,6,4077.7,24466.2
2026-04-24,BUY,ADANIENSOL.NS,17,1411.95,24003.152026-05-04,SELL,GVT&D.NS,6,4466.2,26797.2
2026-05-04,SELL,SCI.NS,81,304.48,24662.88
2026-05-04,SELL,ABB.NS,3,7230.0,21690.0
2026-05-04,SELL,SYRMA.NS,25,958.95,23973.75
2026-05-04,BUY,CPPLUS.NS,10,2325.6,23256.0
2026-05-04,BUY,GALLANTT.NS,29,861.85,24993.65
2026-05-04,BUY,ADANIPOWER.NS,112,221.85,24847.2
2026-05-04,BUY,LLOYDSME.NS,14,1764.4,24701.6
2026-05-14,SELL,GALLANTT.NS,29,797.6,23130.4
